IT,"2,993",,,,,
Finance,"2,704",,,,,
Consumer,"2,612",,,,,
Health,"2,310",,,,,
Services,"1,680",,,,,
OilandGas,"1,313",,,,,
Telecom,"1,037",,,,,
Industrial,831,,,,,
